COB_Group,Hiscox_COB,GL,PL,BOP,Cyber,Full_Industry_Code,Definition
Allied Health,Acupressure services,Yes,Yes,Yes,Yes,62139900_29129100_01000000,Treats patients by applying pressure to the surface of the body.
Allied Health,Acupuncture services,Yes,Yes,Yes,Yes,62139900_29129100_02000000,"Uses sterile needles to stimulate certain parts of the body, relieving stress."
Allied Health,Art therapy,Yes,Yes,Yes,Yes,62134000_29112500_01000000,"Improves physical, emotional, mental, and spiritual wellbeing through art therapy."
Allied Health,Audiology,Yes,Yes,Yes,Yes,62134000_29118100_00000000,"Addresses hearing and balance disorders with tests, treatments, and hearing aids."
Allied Health,Barber/beauty/cosmetology schools,No,No,No,Yes,61151100_39500000_00000000,Specializes in teaching beauty services as a career or technical instructor.
Allied Health,Barber/hair stylist services,Yes,Yes,Yes,Yes,81211100_39501100_00000000,"Provides haircuts and styling, including facial hair shaving and trimming."
Allied Health,Beautician/cosmetology services,Yes,Yes,Yes,Yes,81211200_39501200_00000000,"Offers haircuts, styling, coloring, extensions, straightening, and may also perform manicures, facials, and makeup."
Allied Health,"Child, Family, and School Social Workers",No,No,Yes,Yes,62419000_21102100_00000000,Delivers social services and assistance to improve the social and psychological welfare of children and families.
Allied Health,Dance therapy,No,Yes,Yes,Yes,62134000_29112500_02000000,"Uses dance as a therapeutic tool to enhance physical, emotional, mental, and spiritual health."
Allied Health,Day/beauty spas,No,No,No,Yes,81219900_39500000_00000000,"Provides personal care treatments to promote health, beauty, and relaxation."
Allied Health,Diet/nutrition services,Yes,Yes,Yes,Yes,81219100_29103100_00000000,Advises clients on the impact of food and nutrition on health.
Allied Health,Drama Therapy,Yes,Yes,Yes,Yes,62134000_29112500_03000000,"Utilizes drama therapy to support physical, emotional, mental, and spiritual health."
Allied Health,Esthetician services,Yes,Yes,Yes,Yes,81211200_39509400_00000000,"Specializes in cosmetic skin treatments such as waxing, threading, body wraps, skin care, eyelash and eyebrow tinting, eyelash extensions, and makeup application."
Allied Health,First aid and CPR training,Yes,Yes,Yes,Yes,61169900_21109100_00000000,Trains and certifies individuals in CPR and first aid.
Allied Health,Healthcare Social Workers,No,No,Yes,Yes,62419000_21102200_00000000,"Supports and serves individuals or groups with acute, chronic, or terminal illnesses."
Allied Health,Home health aide,Yes,Yes,No,Yes,62161000_31112100_01000000,"Provides private home care as a licensed, certified, or specially trained aide or attendant."
Allied Health,Hypnosis,Yes,Yes,Yes,Yes,62133000_19303900_01000000,Uses hypnosis to help patients uncover repressed memories or change certain behaviors.
Allied Health,Marriage and family therapy,Yes,Yes,Yes,Yes,62419000_21101300_00000000,Counsels individuals and families to improve and overcome relationship issues.
Allied Health,Massage therapy,Yes,Yes,No,Yes,62139900_31901100_00000000,Uses massage therapy to manipulate muscles and other soft tissues for client well-being.
Allied Health,Mental Health and Substance Abuse Social Workers,No,No,Yes,Yes,62419000_21102300_00000000,"Provides advice, treatment, and support for individuals dealing with addiction, mental health issues, or behavioral problems."
Allied Health,Mental health counseling,Yes,Yes,Yes,Yes,62133000_21101400_00000000,"Uses a psychological and educational approach, combined with traditional medical models, to counsel clients and assist with diagnosis."
Allied Health,Music therapy,Yes,Yes,Yes,Yes,62134000_29112500_04000000,"Employs music therapy to enhance physical, emotional, mental, and spiritual health."
Allied Health,Nail technician services,Yes,Yes,No,Yes,81211300_39509200_00000000,"Specializes in nail care and artistry, offering manicures, pedicures, acrylic nails, nail wraps, dip nails, and related services."
Allied Health,Occupational therapy,Yes,Yes,Yes,Yes,62134000_29112200_00000000,"Helps injured, ill, or disabled patients recover and improve through the therapeutic use of everyday activities."
Allied Health,Personal care aide,Yes,Yes,No,Yes,62161000_31112100_02000000,"Delivers private home care as a licensed, certified, or specially trained aide or attendant. (See also Home Health Aide)"
Allied Health,Personal training (health and fitness),Yes,Yes,No,Yes,61169900_29909100_01000000,"Prescribes exercise routines and provides instruction, often educating clients on broader aspects of wellness including nutrition."
Allied Health,Physical therapy,No,No,Yes,Yes,62134000_29112300_00000000,"Utilizes exercise, massage, and functional movement training to help injured or ill individuals improve mobility and manage pain."
Allied Health,Psychology,Yes,Yes,Yes,Yes,62133000_19303900_02000000,"Offers clinical analysis and counseling in a variety of therapeutic contexts, typically as a professional with a PhD (not M.D.)."
Allied Health,Social work services,Yes,Yes,Yes,Yes,62419000_21102900_00000000,"Assists people in solving and coping with daily life challenges, and is qualified to diagnose and treat mental, behavioral, and emotional issues."
Allied Health,Speech therapy,Yes,Yes,Yes,Yes,62134000_29112700_00000000,"Conducts assessments, diagnoses, and treatments to prevent speech, language, and swallowing disorders."
Allied Health,Substance abuse counseling,Yes,Yes,Yes,Yes,62419000_21101100_00000000,"Provides counseling for clients with dependencies on alcohol, prescription drugs, or illegal substances, without the use of prescription medication."
Allied Health,Yoga/pilates instruction,Yes,Yes,No,Yes,61169900_39903100_00000000,Guides clients through physical poses and mental imagery to help achieve tranquility of body and mind.
Architect & Engineering,Aerospace engineering,No,No,No,No,54133000_17201100_00000000,"Designs and analyzes aircraft, spacecraft, satellites, and missiles."
Architect & Engineering,Agency construction manager,Yes,Yes,Yes,Yes,54133000_11902100_01000000,"Specializes in running construction projects for the project owner; also known as an ""owner's representative"""
Architect & Engineering,Agricultural engineering,No,No,Yes,Yes,54133000_17202100_00000000,Develops climate control systems and increases storage capacity and efficiency of refrigeration; may integrate artificial intelligence and geospatial systems in agriculture.
Architect & Engineering,Architectural and Civil Drafters,No,No,Yes,Yes,54134000_17301100_00000000,Converts the designs of engineers and architects into technical drawings using software.
Architect & Engineering,Architecture,Yes,Yes,Yes,Yes,54131000_17101100_00000000,"Plans and designs the construction of buildings, conducts site evaluations, prepares construction documentation, reviews builder or consultant qualifications, plans projects, and reviews building codes."
Architect & Engineering,Bioengineering,No,No,No,No,54133000_17203100_00000000,"Combines engineering with medical and biological sciences to design and create equipment, devices, computer systems, and software used in healthcare."
Architect & Engineering,Building inspection,Yes,No,Yes,Yes,54135000_47401100_00000000,"Inspects structures at different stages of completion, often as a certified residential or commercial building inspector, plumbing, electrical, or mechanical inspector."
Architect & Engineering,Chemical engineering,No,No,No,No,54133000_17204100_00000000,"Conceives, designs, and improves processes to produce, transform, and transport materials."
Architect & Engineering,Civil engineering,No,No,No,No,54133000_17205100_00000000,"Plans, designs, and maintains various types of infrastructure, often specializing in areas such as transportation engineering."
Architect & Engineering,Computer Hardware engineering,No,No,Yes,Yes,54133000_17206100_00000000,"Designs, tests, updates, and analyzes computer hardware, and may oversee the manufacturing process of computer hardware."
Architect & Engineering,Control systems integration/automation,Yes,Yes,Yes,Yes,54151200_51916200_00000000,Specializes in automating component subsystems (such as HVAC) under a central control unit and ensures those subsystems function together.
Architect & Engineering,Draftsman (including CAD/CAM),Yes,Yes,Yes,Yes,54134000_17301900_01000000,Creates technical drawings and renderings by hand or using computer-aided programs (CAD/CAM); may also be an architect.
Architect & Engineering,Electrical and Electronics Drafters,No,No,Yes,Yes,54134000_17301200_00000000,"Drafts diagrams of electrical components such as wiring and circuit boards, and creates drawings used to manufacture, install, and repair electronic equipment."
Architect & Engineering,Electrical engineering,Yes,Yes,Yes,Yes,54133000_17207100_00000000,"Practices the study and application of electricity, electronics, and electromagnetism."
Architect & Engineering,Engineering,Yes,Yes,Yes,Yes,54133000_17219900_01000000,"Uses science and technology to design structures such as buildings, engines, and machines."
Architect & Engineering,Environmental engineering,Yes,Yes,Yes,Yes,54133000_17208100_00000000,Applies science and engineering principles to improve the natural environment and solve environmental problems.
Architect & Engineering,Health and Safety Engineer,No,No,No,No,54133000_17211100_00000000,"Develops procedures and designs systems to protect people from illness and injury, and property from damage; may investigate industrial accidents and injuries."
Architect & Engineering,Industrial engineering,Yes,Yes,Yes,Yes,54133000_17211200_00000000,"Works to optimize or eliminate wastefulness in production processes, systems, or organizations."
Architect & Engineering,Interior decorator,No,No,Yes,Yes,54141000_27102500_01000100,Specializes in home decor and the furnishing of indoor spaces.
Architect & Engineering,Interior design,Yes,Yes,Yes,Yes,54141000_27102500_02000100,"Designs indoor spaces to be aesthetically pleasing, functional, and safe by determining space requirements and selecting decorative items such as colors, lighting, and materials."
Architect & Engineering,Land surveyor,Yes,Yes,Yes,Yes,54137000_17102200_00000000,"Collects, analyzes, and charts data to map the shape of a piece of land and its site features."
Architect & Engineering,Landscape architect,Yes,Yes,Yes,Yes,54132000_17101200_00000000,"Designs the outdoor spaces of recreational facilities, businesses, private homes, and similar areas in nature."
Architect & Engineering,Marine Engineering and Naval Architect,No,No,No,No,54133000_17212100_00000000,"Designs, builds, and maintains ships such as aircraft carriers, submarines, sailboats, and tankers."
Architect & Engineering,Materials engineering,No,No,No,No,54133000_17213100_00000000,"Creates, processes, and tests materials at the atomic level; may work in ceramics, composites, plastics, semiconductors, and metallurgical engineering."
Architect & Engineering,Mechanical Drafters,No,No,Yes,Yes,54134000_17301300_00000000,"Prepares detailed working diagrams of machinery and mechanical devices, including dimensions, fastening methods, and other engineering information."
Architect & Engineering,Mechanical engineering,No,No,Yes,Yes,54133000_17214100_00000000,"Analyzes, designs, manufactures, and maintains mechanical systems; involves the production and usage of heat and mechanical power for the production and operation of machines."
Architect & Engineering,Mining and Geological engineering,No,No,No,No,54133000_17215100_00000000,Designs mines to safely and efficiently remove minerals such as coal and metals for use in manufacturing and utilities.
Architect & Engineering,Nuclear engineering,No,No,No,No,54133000_17216100_00000000,"Researches and develops the processes, instruments, and systems used to derive benefits from nuclear energy and radiation."
Architect & Engineering,Petroleum engineering,No,No,No,No,54133000_17217100_00000000,"Designs and develops methods for extracting oil and gas from deposits below the earth’s surface, as well as from older wells."
Architect & Engineering,Process engineering,Yes,Yes,Yes,Yes,54133000_13111100_00000000,"Develops, configures, and optimizes industrial processes from inception through to start up and certification; may assess processes, take measurements, and interpret data."
Architect & Engineering,Surveying/mapping services,No,No,Yes,Yes,54137000_17102000_00000000,Collects data and makes maps of the Earth's surface.
