Partner_Name,Verified_COB,Source
Built-in wood cabinets constructed on site,Carpentry (interior only),batch1_correct
Office Administrative Services,Office administrative services,batch1_correct
Bicycle (except motorized) shops,OOA,batch1_correct
Graphic Designer,Graphic design,batch1_correct
Farm Labor Contractors and Crew Leaders,OOA,batch1_correct
Document Storage,OOA,batch1_correct
Sheet metal work manufacturing,OOA,batch1_correct
"Footwear (e.g., bowling, golf, spiked), specialty sports, st",Shoe Stores,batch1_correct
Automotive paint shops painting,OOA,batch1_correct
Retail Bakery,Bakery shops,batch1_correct
Electrical Equipment Distributor,OOA,batch1_correct
Smoothie Shop,Smoothie bars,batch1_correct
Audio equipment installation (except automotive) contractors,Audio/video installation,batch1_correct
Convenience Store (With Gasoline Sales),OOA,batch1_correct
Custom picture frame shops,Framing Shops,batch1_correct
"Scrap materials (e.g., automotive, industrial) merchant whol",OOA,batch1_correct
Optical Goods Distributor,OOA,batch1_correct
Plumbing Supplies & Fixtures Distributor,OOA,batch1_correct
Gutter Cleaning,Gutter & downspout work,batch1_correct
Event planning entertainment service,Event planning/promotion,batch1_correct
"Horseback riding, recreational",OOA,batch1_correct
Executive Search Services,Executive placement,batch1_correct
Advertising marketing agency,Advertising,batch1_correct
Business School or College,OOA,batch1_correct
Day Spa,Day/beauty spas,batch1_correct
Trucking,OOA,batch1_correct
Signs and Advertising Specialties,Sign painting and lettering (interior only),batch1_correct
Manufacturing â€“ Residential Refrigeration Equipment,OOA,batch1_correct
Handyman,Handyperson (no roof work),batch1_correct
Manufacturing â€“ Ice Cream and Frozen Desserts,OOA,batch1_correct
"Manufacturing â€“ Canned Fruits, Vegetables, Preserves, Jams and Jellies",OOA,batch1_correct
"Private Academic School (not elementary, jr. high or high school)",OOA,batch1_correct
Traffic Management Consulting,Transportation engineering,batch1_correct
Art Therapist,Art therapy,batch1_correct
Manufacturing â€“ Research & Development,OOA,batch1_correct
Agent/Manager for Public Figures,OOA,batch1_correct
Hotels and Motels - without pools or beaches,OOA,batch1_correct
Garden maintenance services,Landscaping/gardening services,batch1_correct
Commercial freezer installation refrigerator fridge refriger,Refrigeration system install & repair,batch1_correct
"Family restaurants, limited service fast casual","Limited Service Restaurant No Alcohol, w/o Dance Floor",batch1_correct
Fitness centers,OOA,batch1_correct
Manufacturing â€“ Lighting Fixtures,OOA,batch1_correct
Farmer's market - vegetable stand,Fruit & Vegetable Markets,batch1_correct
"Snack food manufacturing, popcorn",OOA,batch1_correct
Drive-In Motion Picture Theaters,OOA,batch1_correct
Cinemas movie theater,OOA,batch1_correct
Horses and other Equine Production,OOA,batch1_correct
Human Resources Consulting Services,Human Resources (HR) consulting,batch1_correct
Boys' day camps (except instructional),OOA,batch1_correct
Poultry Farmer,OOA,batch1_correct
Tile (except resilient) laying and setting,"Tile, stone, marble, mosaic, or terrazzo work (interior only)",batch1_correct
Chimney cleaning chimney sweep fireplace,Chimney construction & maintenance,batch1_correct
Manufacturing â€“ Metal Goods â€“ Cutlery and Flatware,OOA,batch1_correct
Car Rental,OOA,batch1_correct
Manufacturing â€“ Metal Goods â€“ Plumbing Fixtures,OOA,batch1_correct
Manufacturing â€“ Eyeglass Lenses,OOA,batch1_correct
Crude Petroleum and Natural Gas Extraction,OOA,batch1_correct
Hazardous waste management waste hauling,OOA,batch1_correct
Instruments and related products manufacturing for measuring,OOA,batch1_correct
"Asphalting, residential and commercial driveway and parking",Driveway or sidewalk paving/repaving,batch1_correct
Beauty Salon,Barber/hair stylist services,batch1_correct
Handyman home repair facility facilities maintenance,Handyperson (no roof work),batch1_correct
Chambers of Commerce,Chamber of commerce,batch1_correct
Car Wash â€“ Full Service,OOA,batch1_correct
Produce Distributor,OOA,batch1_correct
Manufacturing â€“ Residential Electrical Appliances and Accessories,OOA,batch1_correct
Gifts Distributor,OOA,batch1_correct
Window installation,Door or window installation and repair,batch1_correct
Dental Laboratories,Dental Laboratories,batch1_correct
Valet Parking,OOA,batch1_correct
Dietitian,Diet/nutrition services,batch1_correct
Other lighting equipment manufacturing,OOA,batch1_correct
Linen Supply Services,OOA,batch1_correct
Boat or yacht charter,OOA,batch1_correct
Credit unions,OOA,batch1_correct
Window Treatment Store,Window Treatment Stores,batch1_correct
Other management consulting services,Business consulting,batch1_correct
Landscape Architect,Landscape architect,batch1_correct
General Contractor,General Contractor - Construction and installation only,batch1_correct
Kennels,Kennels (Boarding),batch1_correct
"Golf courses, miniature",OOA,batch1_correct
Computer store,"Computer, Equipment & Software Retail",batch1_correct
